Date;MSI GEFORCE RTX 3070 SUPRIM X 8G
2022-08-22;715.38
2022-08-23;711.7
2022-08-24;713.15
2022-08-25;710.81
2022-08-26;711.02
2022-08-27;713.41
2022-08-28;713.79
2022-08-29;698.72
2022-08-30;706.99
2022-08-31;707.1
2022-09-01;713.16
2022-09-02;712.9
2022-09-03;712.78
2022-09-04;710.58
2022-09-05;715.41
2022-09-06;715.61
2022-09-07;720.62
2022-09-08;717.96
2022-09-09;718.23
2022-09-10;718.41
2022-09-11;720.87
2022-09-12;721.3
2022-09-13;718.1
2022-09-14;714.9
2022-09-15;714.83
2022-09-16;717.04
2022-09-17;717.61
2022-09-18;720.33
2022-09-19;718.86
2022-09-20;710.85
2022-09-21;714.84
2022-09-22;703.24
2022-09-23;717.11
2022-09-24;716.04
2022-09-25;715
2022-09-26;716.09
2022-09-27;714
2022-09-28;711.54
2022-09-29;713.82
2022-09-30;704.39
2022-10-01;702
2022-10-02;702.25
2022-10-03;704.82
2022-10-04;705.66
2022-10-05;704.87
2022-10-06;702.13
2022-10-07;694.69
2022-10-08;705.4
2022-10-09;707.05
2022-10-10;708.21
2022-10-11;703.76
2022-10-12;706.14
2022-10-13;704.34
2022-10-14;702.32
2022-10-15;701.6
2022-10-16;702.08
2022-10-17;704.08
2022-10-18;705.98
2022-10-19;697.65
2022-10-20;703.84
2022-10-21;701.19
2022-10-22;713.63
2022-10-23;710.15
2022-10-24;712.23
2022-10-25;712.27
2022-10-26;710.39
2022-10-27;715.12
2022-10-28;711.72
2022-10-29;715.29
2022-10-30;716.55
2022-10-31;717.93
2022-11-01;722.87
2022-11-02;713.32
2022-11-03;702.64
2022-11-04;710.55
2022-11-05;713.95
2022-11-06;714.19
2022-11-07;714.19
2022-11-08;714.19
2022-11-09;705.95
2022-11-10;713.09
2022-11-11;719.35
2022-11-12;716.79
2022-11-13;709.15
